angle,x,y
0.0,0.0,0.0
0.002,0.039996841768152644,0.0005026415953341043
0.004,0.079974735142664,0.0020104076354669985
0.006,0.1199147367168707,0.004522821920392145
0.008,0.1597979130569628,0.00803909090876313
0.01,0.19960534568565433,0.012558103905862676
0.012,0.23931813606254734,0.018078433326703853
0.014,0.27891741056008834,0.02459833503420809
0.016,0.31838432543401607,0.03211574875238877
0.018,0.35770007178720303,0.0406282985544534
0.02,0.3968458805257912,0.0501332934257217
0.022,0.4358030273065265,0.060627727901240734
0.024,0.47455283747419874,0.07210828277796338
0.026,0.5130766909880914,0.08457132590133946
0.028,0.551356027336355,0.09801291302615459
0.03,0.5893723504372133,0.11242878875143476
0.032,0.627107233525918,0.1278143875292205
0.034,0.6645423240263716,0.14416483474699718
0.036,0.7016593484063355,0.1614749478835544
0.038,0.7384401170151522,0.17973923773803074
0.04,0.7748665289029049,0.19895190973188384
0.042,0.8109205766199501,0.21910686528351345
0.044,0.8465843509957555,0.24019770325524611
0.046,0.8818400458959857,0.262217721472378
0.048,0.9166699629567772,0.2851599183139535
0.05,0.9510565162951535,0.3090169943749474
0.052,0.9849822371945341,0.3337813541994979
0.054,1.0184297787642937,0.35944510808482555
0.056,1.0513819205723391,0.38600007395545916
0.058,1.08382157324967,0.4134377793073709
0.06,1.1157317830659017,0.4417494632216135
0.062,1.147095736474728,0.4709260784470333
0.064,1.177896764628314,0.5009582935516191
0.066,1.2081183478596111,0.5318364951420347
0.068,1.2377441201315942,0.5635507901508665
0.07,1.2667578734524274,0.5960910081911018
0.072,1.2951435622555743,0.6294467039773433
0.074,1.3228853077438705,0.6636071598132477
0.076,1.3499674021965877,0.6985613881446616
0.078,1.376374313238527,0.7342981341779188
0.08,1.4020906880701818,0.7708058785627445
0.082,1.4271013576580223,0.8080728401391982
0.084,1.4513913408839634,0.8460869787480783
0.086,1.4749458486530818,0.8848359981041909
0.088,1.4977502879586577,0.9243073487318801
0.09,1.519790265903627,0.9644882309621939
0.092,1.5410515936775406,1.0053655979910552
0.094,1.5615202904881278,1.0469261589977934
0.096,1.5811825874465806,1.0891563823233725
0.098,1.6000249314056805,1.1320424987076445
0.1,1.618033988749895,1.1755705045849463
0.102,1.6351966491365884,1.2197261654373384
0.104,1.6515000291874977,1.2644950192047792
0.106,1.666931476129632,1.3098623797515088
0.108,1.6814785713847709,1.3558133403879131
0.11,1.6951291341067365,1.4023327774471173
0.112,1.7078712246656433,1.4494053539155551
0.114,1.7196931480783169,1.497015523116741
0.116,1.7305834573841028,1.5451475324474642
0.118,1.7405309569652905,1.5937854271656173
0.12,1.7495247058113876,1.6429130542288526
0.122,1.7575540207264928,1.692514066183244
0.124,1.7646084794790275,1.742571925101146
0.126,1.7706779238931,1.7930699065673992
0.128,1.7757524628807806,1.8439911037130414
0.13,1.7798224754145904,1.8953184312956701
0.132,1.7828786134395047,1.9470346298255792
0.134,1.7849118047237942,1.999122269736808
0.136,1.7859132556480415,2.0515637556022024
0.138,1.7858744539316664,2.1043413303915965
0.14,1.7847871712963312,2.15743707977221
0.142,1.7826434660655897,2.210832936450346
0.144,1.7794356857001632,2.264510684553462
0.146,1.775156469268248,2.318451964051679
0.148,1.769798749850256,2.3726382752177946
0.15,1.7633557568774194,2.4270509831248424
0.152,1.7558210184036935,2.4816713221802393
0.154,1.7471883633104102,2.536480400695557
0.156,1.737451923443147,2.5914592054909353
0.158,1.7266061356802904,2.6465886065331676
0.16,1.7146457439327891,2.7018493616064485
0.162,1.7015658010745982,2.757222121014802
0.164,1.6873616708033412,2.8126874323151796
0.166,1.6720290294307263,2.8682257450802133
0.168,1.6555638676022597,2.9238174156896064
0.17,1.6379624919458318,2.9794427121491367
0.172,1.6192215266487444,3.0350818189362383
0.174,1.5993379149627778,3.0907148418711343
0.176,1.578308920636914,3.1463218130124475
0.178,1.5561321292773214,3.2018826955762805
0.18,1.5328054496342614,3.25737738887767
0.182,1.5083271148155546,3.312785733293384
0.184,1.4826956834262786,3.368087515244976
0.186,1.4559100406343934,3.423262472201037
0.188,1.4279693991619722,3.478290297697562
0.19,1.3988733002017766,3.533150646375355
0.192,1.3686216142588827,3.58782313903339
0.194,1.337214541917126,3.642287367697031
0.196,1.3046526145301078,3.6965229007000286
0.198,1.2709366948365493,3.7505092877791877
0.2,1.2360679774997898,3.804226065180614
0.202,1.2000479895712208,3.8576527607764377
0.204,1.1628785908775028,3.9107688991908933
0.206,1.1245619743313806,3.9635540069346735
0.208,1.0851006661659715,4.015987617546419
0.21,1.0444975260923908,4.0680492767402505
0.212,1.002755747380593,4.119718547558217
0.214,0.9598788568633515,4.17097501552655
0.216,0.9158707148632765,4.221798293814596
0.218,0.8707355150428145,4.272168028395317
0.22,0.8244777841771889,4.32206390320623
0.222,0.7771023818502256,4.371465645309672
0.224,0.7286145000730792,4.420353030051249
0.226,0.679019662825822,4.468705886215372
0.228,0.6283237255219492,4.5165041011767295
0.23,0.5765328743957997,4.563727626046599
0.232,0.5236536258129547,4.61035648081284
0.234,0.46969282550368585,4.656370759472486
0.236,0.4146576477195084,4.701750635155774
0.238,0.35855559431295986,4.746476365240522
0.24,0.3013944937407049,4.790528296455704
0.242,0.24318249999008484,4.833886869973124
0.244,0.1839280914292813,4.8765326264860756
0.246,0.12364006958122065,4.918446211273836
0.248,0.06232755782142977,4.959608379250928
0.25,3.061616997868383e-16,5.0
0.252,-0.06333284101209737,5.0396020627872335
0.254,-0.12766088485215402,5.078395681559163
0.256,-0.19297373527006503,5.116362099919817
0.258,-0.25926068180761047,5.153482696087051
0.26,-0.3265107015524297,5.189738987827012
0.262,-0.394712460966367,5.225112637365617
0.264,-0.4638543177879241,5.259585456275951
0.266,-0.5339243230084638,5.293139410340517
0.268,-0.6049102229218619,5.325756624387245
0.27,-0.6767994612472437,5.35741938709818
0.272,-0.749579181324431,5.388110155789783
0.274,-0.8232362283817493,5.417811561163769
0.276,-0.8977571518757574,5.446506412027432
0.278,-0.9731282079025355,5.474177699982382
0.28,-1.0493353616800591,5.500808604080657
0.282,-1.1263642901012547,5.526382495447152
0.284,-1.204200384357269,5.550882941867338
0.286,-1.2828287526304594,5.574293712339221
0.288,-1.3622342228566526,5.596598781588522
0.29,-1.4424013455561568,5.617782334546061
0.292,-1.5233143967329965,5.63782877078632
0.294,-1.6049573808418713,5.656722708926186
0.296,-1.6873140338222583,5.6744489909828655
0.298,-1.7703678261991271,5.6909926866899925
0.3,-1.854101966249684,5.706339097770922
0.302,-1.9384994032355443,5.720473762168256
0.304,-2.0235428306997583,5.733382458228617
0.306,-2.1092146898280433,5.74505120884171
0.308,-2.195497172873624,5.755466285532731
0.31,-2.2823722266450037,5.764614212507158
0.312,-2.3698215560560385,5.772481770647018
0.314,-2.4578266277376315,5.779056001457667
0.316,-2.5463686737103477,5.7843242109642
0.318,-2.6354286951172874,5.7882739735565725
0.32,-2.7249874660164655,5.790893135782525
0.322,-2.8150255372320068,5.792169820087431
0.324,-2.9055232402634084,5.79209242850019
0.326,-2.996460691252101,5.790649646264312
0.328,-3.0878177950045824,5.787830445413294
0.33,-3.179574249071322,5.7836240882895
0.332,-3.2717095478806555,5.778020131005651
0.334,-3.3642029869268826,5.771008426848141
0.336,-3.457033667011724,5.7625791296213436
0.338,-3.55018049853836,5.752722696932117
0.34,-3.643622205857179,5.741429893413702
0.342,-3.7373373316624003,5.728691793888251
0.344,-3.83130424143873,5.714499786467192
0.346,-3.9255011279571534,5.698845575588718
